site,cloud,latency(ms),jitter(ms),lost(%),base_capacity,capacity,fixed_cost,variable_cost_unit
346,MPLS_2,89,10,0.51,20,39,10000,2000
346,Internet,189,12,9,23,23,2300,0
347,MPLS_1,83,11,0.58,9,17,7200,2400
347,MPLS_0,98,14,2.07,43,71,30100,2100
347,MPLS_2,75,7,0.47,7,11,4200,2400
347,Internet,216,18,5,42,42,4200,0
348,MPLS_2,76,12,0.44,8,14,4000,3000
348,MPLS_1,83,13,1.22,54,90,43200,4800
348,MPLS_0,65,12,0.46,10,17,5000,3500
348,Internet,157,17,2,35,35,3500,0
349,MPLS_0,66,13,0.49,40,65,32000,4800
349,MPLS_1,66,9,0.57,34,53,17000,4500
349,MPLS_2,113,14,1.84,217,342,108500,2500
349,Internet,147,18,3,182,182,18200,0
350,MPLS_2,77,13,0.58,10,19,7000,4200
350,MPLS_1,132,13,0.98,22,41,17600,3200
350,Internet,201,19,4,20,20,2000,0
351,MPLS_2,78,11,0.41,36,63,25200,2800
351,MPLS_1,106,12,2.04,100,174,80000,3200
351,Internet,172,19,3,83,83,8300,0
352,MPLS_0,89,9,0.69,124,213,62000,3000
352,Internet,203,18,3,56,56,5600,0
353,MPLS_2,65,7,0.48,7,12,5600,2400
353,Internet,176,20,2,3,3,300,0
354,MPLS_2,61,9,0.58,32,49,19200,2400
354,MPLS_0,150,16,1.94,146,252,87600,3600
354,MPLS_1,79,12,0.68,29,47,23200,5600
354,Internet,216,19,8,117,117,11700,0
355,MPLS_2,74,11,0.53,14,27,11200,8000
355,MPLS_1,75,10,0.58,17,27,13600,6400
355,MPLS_0,86,16,1.07,82,146,65600,6400
355,Internet,179,17,2,58,58,5800,0
356,MPLS_2,82,9,0.45,44,72,26400,3000
356,MPLS_0,61,10,0.41,39,66,19500,2000
356,MPLS_1,131,14,1.29,258,394,154800,4200
356,Internet,152,19,7,230,230,23000,0
357,MPLS_0,65,9,0.59,21,34,10500,4000
357,MPLS_2,93,15,1.11,48,76,38400,4000
357,Internet,184,16,5,37,37,3700,0
358,MPLS_0,146,15,1.46,46,70,36800,2400
358,MPLS_2,74,13,0.61,16,24,11200,4900
358,Internet,158,15,6,45,45,4500,0
359,MPLS_1,83,9,0.53,33,59,23100,2100
359,Internet,191,14,5,16,16,1600,0
360,MPLS_1,123,16,0.86,32,55,22400,4900
360,MPLS_2,71,10,0.76,8,12,4000,1500
360,Internet,141,16,3,25,25,2500,0
361,MPLS_0,84,9,0.54,5,8,3500,3500
361,MPLS_1,134,13,1.48,13,21,9100,2100
361,Internet,189,14,2,7,7,700,0
362,MPLS_2,77,13,0.74,9,14,7200,7200
362,MPLS_0,92,15,1.75,21,35,10500,5000
362,Internet,211,20,5,13,13,1300,0
363,MPLS_2,73,12,0.48,19,32,13300,7000
363,MPLS_0,125,12,1.4,40,70,32000,2400
363,Internet,209,19,1,26,26,2600,0
364,MPLS_2,132,12,1.69,50,92,25000,3000
364,MPLS_0,79,12,0.53,24,41,16800,3500
364,Internet,145,13,2,50,50,5000,0
365,MPLS_1,71,8,0.75,2,3,1200,3600
365,MPLS_2,88,7,0.5,2,3,1000,4000
365,MPLS_0,107,15,1.61,13,25,6500,2000
365,Internet,201,17,8,10,10,1000,0
366,MPLS_0,133,16,0.8,42,76,33600,3200
366,MPLS_1,69,9,0.74,14,25,8400,1800
366,Internet,140,16,9,36,36,3600,0
367,MPLS_2,134,12,1.73,32,55,22400,2800
367,MPLS_0,73,10,0.6,11,16,8800,8000
367,Internet,184,17,9,22,22,2200,0
368,MPLS_1,89,9,0.59,105,162,84000,3200
368,Internet,210,18,5,45,45,4500,0
369,MPLS_2,139,13,0.97,3,5,2400,6400
369,MPLS_1,74,11,0.64,1,1,500,3500
369,MPLS_0,64,7,0.68,0,0,0,6000
369,Internet,217,15,5,2,2,200,0
370,MPLS_0,79,8,0.43,28,42,19600,7000
370,MPLS_2,82,16,2.06,77,125,46200,6000
370,Internet,193,12,6,37,37,3700,0
371,MPLS_2,108,14,1.69,27,41,18900,3500
371,MPLS_1,65,12,0.5,12,22,8400,5600
371,Internet,167,14,2,28,28,2800,0
372,MPLS_1,77,10,0.6,7,12,4200,2400
372,MPLS_0,60,12,0.43,8,12,4800,4800
372,MPLS_2,115,14,2.04,56,89,44800,7200
372,Internet,192,14,5,42,42,4200,0
373,MPLS_2,89,8,0.48,4,7,2000,2000
373,MPLS_0,102,15,1.87,7,13,4900,4200
373,Internet,177,19,2,5,5,500,0
374,MPLS_2,119,16,1.1,26,41,15600,3600
374,MPLS_1,68,8,0.73,11,20,7700,2100
374,Internet,192,12,1,19,19,1900,0
375,MPLS_0,85,11,0.6,3,5,1500,3500
375,MPLS_1,123,15,0.87,15,28,12000,8000
375,MPLS_2,65,12,0.61,2,3,1600,5600
375,Internet,213,13,6,15,15,1500,0
376,MPLS_0,79,12,0.65,7,12,5600,2400
376,MPLS_1,148,12,1.55,29,57,14500,2000
376,Internet,155,12,1,21,21,2100,0
377,MPLS_2,104,15,2.1,438,869,262800,5400
377,MPLS_1,61,7,0.57,152,293,106400,4900
377,Internet,169,17,7,290,290,29000,0
378,MPLS_0,102,15,0.91,12,22,8400,2800
378,MPLS_1,89,7,0.61,4,7,2400,6000
378,Internet,181,18,4,10,10,1000,0
379,MPLS_0,72,8,0.77,257,496,179900,4900
379,Internet,153,19,10,216,216,21600,0
380,MPLS_2,63,8,0.72,126,210,100800,4800
380,Internet,203,16,2,52,52,5200,0
381,MPLS_2,70,7,0.73,34,65,27200,4800
381,Internet,166,17,10,22,22,2200,0
382,MPLS_1,77,12,0.4,6,9,3600,3000
382,MPLS_2,125,15,1.73,11,18,8800,2400
382,Internet,211,19,4,8,8,800,0
383,MPLS_0,85,7,0.77,31,47,15500,2000
383,MPLS_1,125,13,1.83,81,127,40500,5000
383,Internet,185,18,5,73,73,7300,0
384,MPLS_1,82,11,0.66,26,47,13000,3000
384,MPLS_2,63,9,0.64,28,46,22400,5600
384,MPLS_0,114,13,1.24,159,256,79500,5000
384,Internet,151,14,5,133,133,13300,0
385,MPLS_1,83,13,0.47,14,23,11200,6400
385,MPLS_2,117,14,2.02,40,73,28000,2100
385,Internet,185,12,2,32,32,3200,0
386,MPLS_0,73,12,0.72,16,27,11200,2800
386,MPLS_1,95,15,1.39,43,83,25800,1800
386,Internet,152,13,7,25,25,2500,0
387,MPLS_0,83,7,0.69,7,12,4200,3000
387,MPLS_2,110,13,1.52,55,94,44000,5600
387,MPLS_1,62,10,0.47,7,12,5600,6400
387,Internet,191,13,1,34,34,3400,0
388,MPLS_1,91,15,1.78,57,101,34200,4200
388,MPLS_2,79,8,0.77,26,40,18200,5600
388,Internet,170,14,4,53,53,5300,0
389,MPLS_2,76,10,0.59,3,5,2100,7000
389,MPLS_1,91,12,1.46,9,14,5400,6000
389,Internet,140,12,2,5,5,500,0
390,MPLS_0,105,16,0.97,67,122,33500,4000
390,MPLS_1,71,8,0.54,28,55,22400,2400
390,Internet,172,14,10,72,72,7200,0
391,MPLS_1,62,7,0.76,34,53,17000,4500
391,Internet,194,14,6,21,21,2100,0
392,MPLS_1,114,16,2,48,80,24000,3000
392,MPLS_2,89,11,0.78,10,17,6000,6000
392,MPLS_0,86,11,0.46,10,17,6000,2400
392,Internet,163,14,2,60,60,6000,0
393,MPLS_1,140,14,1.69,15,24,9000,3000
393,MPLS_0,72,10,0.52,3,5,1500,3000
393,MPLS_2,69,8,0.72,3,5,2400,7200
393,Internet,157,17,2,12,12,1200,0
394,MPLS_1,84,12,0.78,6,9,3000,3000
394,MPLS_0,64,11,0.66,6,11,3600,1800
394,MPLS_2,100,14,1.84,38,66,26600,4900
394,Internet,140,13,2,26,26,2600,0
395,MPLS_0,145,14,1.11,11,19,8800,6400
395,MPLS_2,83,9,0.45,4,6,2400,5400
395,Internet,149,12,8,12,12,1200,0
396,MPLS_0,137,13,1.97,439,664,219500,5000
396,MPLS_2,79,12,0.51,139,265,97300,4900
396,Internet,188,17,2,213,213,21300,0
397,MPLS_2,60,8,0.78,12,21,6000,3000
397,MPLS_1,106,15,1.69,32,59,22400,2800
397,Internet,195,17,9,27,27,2700,0
398,MPLS_2,64,8,0.45,23,37,13800,4200
398,MPLS_1,98,13,1.69,57,101,45600,7200
398,Internet,176,19,8,55,55,5500,0
399,MPLS_1,113,12,1.26,77,139,38500,3500
399,MPLS_2,86,11,0.6,28,54,14000,4500
399,Internet,215,20,2,75,75,7500,0
400,MPLS_1,63,7,0.44,16,31,11200,5600
400,MPLS_0,113,12,1.16,51,92,30600,1800
400,Internet,166,20,7,23,23,2300,0
401,MPLS_0,86,9,0.64,27,49,21600,4000
401,MPLS_1,102,13,1.13,53,101,26500,5000
401,Internet,186,19,5,68,68,6800,0
402,MPLS_1,74,7,0.73,5,8,2500,3500
402,MPLS_2,131,15,1.03,17,31,11900,6300
402,MPLS_0,68,10,0.58,3,4,2400,4000
402,Internet,206,16,9,16,16,1600,0
403,MPLS_1,111,16,1.11,23,37,16100,3500
403,MPLS_2,83,10,0.64,8,12,5600,7000
403,Internet,146,15,2,11,11,1100,0
404,MPLS_1,97,16,1.84,49,90,24500,3500
404,MPLS_0,68,12,0.79,24,44,14400,3000
404,Internet,198,19,6,50,50,5000,0
405,MPLS_1,88,9,0.7,353,669,282400,7200
405,Internet,189,16,5,244,244,24400,0
406,MPLS_2,61,8,0.58,18,33,14400,6400
406,MPLS_0,82,12,0.57,14,23,11200,8000
406,MPLS_1,144,14,1.59,102,154,71400,5600
406,Internet,166,18,8,53,53,5300,0
407,MPLS_0,133,15,1.81,30,54,21000,2100
407,MPLS_1,87,12,0.62,6,9,3600,3600
407,MPLS_2,63,8,0.66,5,8,2500,1500
407,Internet,202,20,5,18,18,1800,0
408,MPLS_1,60,11,0.71,5,8,4000,4000
408,MPLS_2,136,16,1.18,9,15,5400,3600
408,Internet,185,15,4,7,7,700,0
409,MPLS_0,89,12,1.93,130,242,104000,6400
409,MPLS_2,60,13,0.49,52,93,31200,2400
409,Internet,172,17,4,102,102,10200,0
410,MPLS_1,72,8,0.76,13,24,10400,3200
410,MPLS_2,92,15,1.33,23,43,18400,2400
410,Internet,194,16,7,27,27,2700,0
411,MPLS_0,145,15,0.81,42,69,29400,4900
411,MPLS_1,71,11,0.54,13,23,10400,5600
411,Internet,192,15,7,37,37,3700,0
412,MPLS_0,79,12,0.62,1,1,500,1500
412,MPLS_2,63,7,0.63,1,1,500,4000
412,MPLS_1,94,16,2.05,4,6,2800,3500
412,Internet,158,13,2,5,5,500,0
413,MPLS_0,68,8,0.42,88,153,44000,4500
413,Internet,190,18,9,62,62,6200,0
414,MPLS_2,76,12,0.79,27,48,13500,3500
414,MPLS_1,76,8,0.62,28,49,19600,4200
414,MPLS_0,134,13,1.9,103,155,82400,3200
414,Internet,143,15,2,111,111,11100,0
415,MPLS_2,94,14,2.04,34,52,20400,3600
415,MPLS_0,89,11,0.68,6,11,3600,4200
415,MPLS_1,67,8,0.52,6,9,3000,4000
415,Internet,215,13,4,20,20,2000,0
416,MPLS_1,71,10,0.6,13,24,7800,4800
416,MPLS_0,108,12,1.2,36,54,21600,3600
416,Internet,177,18,3,38,38,3800,0
417,MPLS_0,97,13,1.46,43,78,25800,2400
417,MPLS_2,84,13,0.43,21,34,12600,6000
417,Internet,140,14,2,37,37,3700,0
418,MPLS_1,87,9,0.65,10,16,6000,4200
418,MPLS_0,96,16,0.93,39,75,19500,5000
418,MPLS_2,73,11,0.44,8,14,4000,4500
418,Internet,186,16,4,43,43,4300,0
419,MPLS_2,77,12,0.42,12,23,8400,4200
419,MPLS_0,66,12,0.49,12,22,6000,3500
419,MPLS_1,89,12,1.84,66,107,52800,3200
419,Internet,213,17,9,49,49,4900,0
420,MPLS_2,78,11,0.71,15,24,7500,1500
420,MPLS_1,107,15,1.23,42,82,25200,3600
420,Internet,163,19,4,35,35,3500,0
421,MPLS_0,119,15,1.07,80,137,40000,3000
421,MPLS_2,60,7,0.43,27,50,16200,3600
421,Internet,186,14,7,62,62,6200,0
422,MPLS_0,109,12,1.92,53,89,26500,2000
422,MPLS_1,88,10,0.62,17,29,10200,1800
422,Internet,194,20,4,31,31,3100,0
423,MPLS_2,125,13,1.25,15,24,10500,2800
423,MPLS_0,63,8,0.62,6,10,4800,7200
423,Internet,207,13,1,14,14,1400,0
424,MPLS_2,70,13,0.45,14,21,8400,1800
424,MPLS_1,116,13,1.62,69,123,34500,2500
424,MPLS_0,71,13,0.49,13,21,6500,3500
424,Internet,193,12,7,60,60,6000,0
425,MPLS_1,73,10,0.56,8,13,6400,3200
425,MPLS_2,108,16,1.65,27,42,18900,4200
425,MPLS_0,79,10,0.59,8,15,4800,3000
425,Internet,172,12,3,28,28,2800,0
426,MPLS_2,103,12,1.21,17,29,11900,2800
426,MPLS_1,89,8,0.77,8,13,4800,4200
426,Internet,140,17,6,12,12,1200,0
427,MPLS_1,72,8,0.75,20,37,16000,2400
427,MPLS_2,77,7,0.59,21,37,14700,4900
427,MPLS_0,95,16,1.4,107,190,74900,4200
427,Internet,158,12,7,89,89,8900,0
428,MPLS_1,109,13,1.33,224,389,179200,4000
428,MPLS_2,81,13,0.57,78,126,39000,5000
428,Internet,192,13,9,121,121,12100,0
429,MPLS_1,126,16,1.9,96,175,48000,5000
429,MPLS_2,75,11,0.62,28,48,14000,4000
429,Internet,160,13,4,81,81,8100,0
430,MPLS_0,72,10,0.61,19,35,15200,4000
430,MPLS_2,81,11,0.69,14,23,7000,1500
430,MPLS_1,89,16,1.4,89,156,53400,2400
430,Internet,202,18,10,89,89,8900,0
431,MPLS_0,61,11,0.79,424,694,339200,8000
431,Internet,166,12,1,299,299,29900,0
432,MPLS_2,66,11,0.48,124,246,86800,5600
432,Internet,204,14,6,76,76,7600,0
433,MPLS_1,70,7,0.67,6,11,4200,2100
433,MPLS_0,132,16,1.89,16,28,11200,2800
433,Internet,140,13,2,7,7,700,0
434,MPLS_0,64,7,0.66,23,44,11500,2500
434,Internet,179,13,2,15,15,1500,0
435,MPLS_0,77,13,0.5,18,29,14400,5600
435,Internet,188,16,4,11,11,1100,0
436,MPLS_2,62,12,0.44,5,9,3500,7000
436,MPLS_0,124,12,1.05,14,21,8400,5400
436,Internet,210,15,10,12,12,1200,0
437,MPLS_1,80,8,0.47,9,17,4500,5000
437,MPLS_2,116,12,1.79,26,46,15600,2400
437,Internet,147,19,4,18,18,1800,0
438,MPLS_1,148,14,1.08,26,44,13000,5000
438,MPLS_0,86,9,0.46,11,18,6600,2400
438,Internet,168,15,5,17,17,1700,0
439,MPLS_2,86,15,1.21,357,685,285600,8000
439,MPLS_0,83,7,0.74,101,171,80800,5600
439,Internet,214,13,1,219,219,21900,0
440,MPLS_2,70,13,0.75,6,9,3000,1500
440,MPLS_1,147,14,0.99,25,48,20000,4000
440,MPLS_0,72,7,0.44,8,14,6400,4800
440,Internet,154,18,10,35,35,3500,0
441,MPLS_2,131,15,1.58,8,13,5600,7000
441,MPLS_1,70,13,0.54,3,5,2100,3500
441,Internet,200,13,5,10,10,1000,0
442,MPLS_2,75,7,0.5,59,97,47200,3200
442,MPLS_0,88,14,1.86,158,259,94800,3000
442,Internet,181,15,4,150,150,15000,0
443,MPLS_1,60,7,0.44,12,23,6000,2000
443,MPLS_2,79,8,0.59,13,23,7800,4200
443,MPLS_0,101,13,2.02,71,137,49700,7000
443,Internet,183,15,7,40,40,4000,0
444,MPLS_2,109,16,0.92,339,611,169500,4000
444,MPLS_0,68,8,0.64,148,276,74000,3000
444,Internet,167,17,2,267,267,26700,0
445,MPLS_0,110,14,2.02,59,104,41300,4900
445,MPLS_1,89,7,0.55,33,59,19800,3600
445,Internet,208,13,5,73,73,7300,0
446,MPLS_1,119,15,1.15,8,15,5600,2800
446,MPLS_0,84,7,0.53,2,3,1200,4800
446,MPLS_2,72,7,0.4,1,1,500,3500
446,Internet,156,18,4,6,6,600,0
447,MPLS_1,83,7,0.69,29,50,20300,3500
447,MPLS_0,83,12,1.03,57,94,34200,3600
447,Internet,208,14,6,54,54,5400,0
448,MPLS_0,86,12,0.69,6,10,3000,2000
448,MPLS_1,116,13,1.61,17,33,10200,2400
448,Internet,181,19,6,13,13,1300,0
449,MPLS_0,71,13,0.54,10,18,7000,7000
449,MPLS_1,83,11,0.48,8,13,6400,7200
449,MPLS_2,87,16,1.96,48,79,38400,6400
449,Internet,154,16,7,32,32,3200,0
450,MPLS_1,70,13,0.68,117,222,58500,5000
450,MPLS_2,96,14,2.01,281,532,168600,4800
450,Internet,174,13,5,280,280,28000,0
451,MPLS_0,131,15,1.55,52,94,26000,5000
451,MPLS_1,82,7,0.5,26,46,20800,6400
451,Internet,204,19,6,38,38,3800,0
452,MPLS_2,60,7,0.6,11,18,6600,3600
452,MPLS_0,89,9,0.78,9,17,5400,6000
452,MPLS_1,149,15,1.22,57,92,45600,2400
452,Internet,167,14,10,40,40,4000,0
453,MPLS_1,71,9,0.61,30,48,24000,3200
453,MPLS_2,137,15,1.17,143,251,71500,2500
453,MPLS_0,67,10,0.41,23,42,11500,3000
453,Internet,148,17,5,69,69,6900,0
454,MPLS_1,71,10,0.53,21,37,14700,4900
454,MPLS_0,129,15,0.86,42,83,33600,4800
454,Internet,212,17,7,42,42,4200,0
455,MPLS_0,69,13,0.4,43,73,34400,8000
455,MPLS_1,89,12,1.99,206,405,103000,2500
455,MPLS_2,86,10,0.57,48,79,24000,1500
455,Internet,149,14,2,178,178,17800,0
456,MPLS_0,136,13,0.88,35,65,24500,4200
456,MPLS_2,66,7,0.58,15,27,10500,4200
456,Internet,162,20,7,30,30,3000,0
457,MPLS_0,72,13,0.58,9,14,4500,2000
457,Internet,220,18,1,6,6,600,0
458,MPLS_1,113,12,1.52,41,77,20500,1500
458,MPLS_0,65,10,0.71,22,35,13200,1800
458,Internet,179,14,8,27,27,2700,0
459,MPLS_1,83,9,0.52,12,21,6000,3500
459,MPLS_2,145,15,1.57,29,51,20300,2800
459,Internet,193,19,1,32,32,3200,0
460,MPLS_2,83,11,0.42,12,20,9600,4000
460,MPLS_1,80,13,0.59,11,18,6600,6000
460,MPLS_0,109,14,1.87,46,75,23000,4000
460,Internet,169,15,6,40,40,4000,0
461,MPLS_2,72,9,0.44,204,389,163200,3200
461,MPLS_1,82,13,1.64,476,800,333200,4200
461,Internet,166,18,3,421,421,42100,0
462,MPLS_0,106,15,1.35,4,7,2800,5600
462,MPLS_1,64,13,0.52,2,3,1000,1500
462,Internet,167,18,10,5,5,500,0
463,MPLS_1,79,10,0.52,7,12,5600,2400
463,MPLS_2,91,16,1.34,29,50,23200,4800
463,MPLS_0,85,7,0.62,9,14,5400,6000
463,Internet,179,20,1,38,38,3800,0
464,MPLS_2,77,9,0.76,12,20,7200,4800
464,MPLS_1,85,9,0.53,12,18,8400,2800
464,MPLS_0,87,16,1.77,62,122,37200,6000
464,Internet,203,18,3,31,31,3100,0
465,MPLS_1,62,9,0.67,8,13,4000,5000
465,MPLS_2,82,7,0.74,8,12,4800,1800
465,MPLS_0,119,13,1.29,26,47,20800,5600
465,Internet,156,13,1,35,35,3500,0
466,MPLS_2,147,12,1.91,37,73,29600,3200
466,MPLS_1,71,9,0.75,19,34,15200,2400
466,Internet,208,20,2,36,36,3600,0
467,MPLS_1,96,15,1.55,22,34,17600,7200
467,MPLS_0,80,13,0.41,5,8,3000,4800
467,MPLS_2,80,8,0.66,5,9,3500,3500
467,Internet,178,17,4,25,25,2500,0
468,MPLS_0,108,16,1.6,29,57,23200,6400
468,MPLS_2,85,13,0.77,11,19,5500,1500
468,Internet,216,13,10,29,29,2900,0
469,MPLS_1,89,16,1.98,135,263,81000,3600
469,MPLS_2,78,12,0.42,69,103,48300,5600
469,Internet,191,14,3,112,112,11200,0
470,MPLS_0,97,16,1.14,278,457,166800,3600
470,MPLS_1,69,8,0.75,133,213,106400,4800
470,Internet,172,16,8,203,203,20300,0
471,MPLS_1,82,10,0.51,132,261,105600,6400
471,Internet,151,18,10,60,60,6000,0
472,MPLS_2,80,13,0.75,112,187,89600,3200
472,MPLS_0,139,16,2,254,404,127000,4500
472,Internet,194,12,8,205,205,20500,0
473,MPLS_1,89,15,1.85,34,57,17000,4500
473,MPLS_2,88,13,0.51,11,20,8800,8000
473,Internet,195,15,5,16,16,1600,0
474,MPLS_2,89,16,1.37,32,50,22400,4200
474,MPLS_1,67,12,0.7,7,11,4200,1800
474,MPLS_0,65,10,0.63,6,9,3600,4800
474,Internet,149,19,5,28,28,2800,0
475,MPLS_2,83,13,0.76,21,39,12600,4200
475,MPLS_0,120,12,1.99,38,69,26600,6300
475,Internet,219,17,9,38,38,3800,0
476,MPLS_1,80,7,0.55,173,339,103800,4200
476,Internet,218,17,10,81,81,8100,0
477,MPLS_0,83,10,0.6,3,4,1800,6000
477,MPLS_1,139,12,1.73,7,12,3500,1500
477,Internet,151,20,10,8,8,800,0
478,MPLS_0,67,13,0.64,5,9,2500,4500
478,MPLS_2,94,13,1.05,19,30,9500,2500
478,MPLS_1,68,11,0.43,4,6,3200,6400
478,Internet,154,19,10,13,13,1300,0
479,MPLS_1,124,13,1.82,41,64,32800,6400
479,MPLS_2,86,7,0.71,20,37,10000,2000
479,Internet,168,16,3,27,27,2700,0
480,MPLS_1,83,16,2.03,23,44,18400,5600
480,MPLS_0,72,10,0.66,10,16,6000,2400
480,Internet,215,19,6,20,20,2000,0
481,MPLS_1,66,11,0.6,43,70,30100,4900
481,MPLS_0,99,15,0.86,101,181,60600,6000
481,Internet,182,13,6,70,70,7000,0
482,MPLS_0,123,14,1.41,44,84,26400,2400
482,MPLS_1,62,7,0.76,24,44,12000,5000
482,Internet,201,16,1,49,49,4900,0
483,MPLS_2,84,11,0.41,4,7,2400,3600
483,MPLS_1,128,13,1.84,29,43,23200,4000
483,MPLS_0,83,8,0.68,6,9,3600,3000
483,Internet,148,12,6,28,28,2800,0
484,MPLS_0,81,8,0.61,120,187,84000,4200
484,MPLS_1,101,13,1.12,297,524,207900,6300
484,Internet,151,12,3,261,261,26100,0
485,MPLS_0,86,12,0.94,17,27,8500,3500
485,MPLS_2,64,12,0.77,8,12,5600,2800
485,Internet,198,19,9,16,16,1600,0
486,MPLS_2,95,14,1.32,36,54,28800,7200
486,MPLS_1,60,9,0.66,14,22,11200,8000
486,Internet,205,19,1,44,44,4400,0
487,MPLS_1,123,12,1.21,165,261,115500,7000
487,MPLS_0,67,12,0.69,65,101,32500,1500
487,Internet,166,17,1,143,143,14300,0
488,MPLS_1,73,13,0.73,9,14,5400,4200
488,MPLS_2,63,13,0.7,12,22,6000,5000
488,MPLS_0,131,12,1.31,42,81,25200,3600
488,Internet,154,13,5,49,49,4900,0
489,MPLS_2,109,15,1.23,26,49,13000,2500
489,MPLS_0,70,9,0.73,5,8,2500,5000
489,MPLS_1,77,9,0.43,6,11,3000,5000
489,Internet,193,12,6,29,29,2900,0
490,MPLS_0,76,7,0.49,5,9,2500,5000
490,MPLS_2,123,16,0.87,27,49,16200,3000
490,MPLS_1,62,7,0.78,6,9,3600,3000
490,Internet,178,20,1,24,24,2400,0
491,MPLS_1,61,7,0.62,167,269,83500,4000
491,MPLS_2,112,16,1.58,502,773,301200,6000
491,Internet,170,20,10,399,399,39900,0
492,MPLS_0,87,11,0.57,28,45,14000,2500
492,MPLS_1,127,13,1.32,74,124,59200,2400
492,Internet,184,16,10,51,51,5100,0
493,MPLS_1,82,12,0.81,115,204,80500,2100
493,MPLS_0,65,8,0.75,32,59,22400,2800
493,Internet,188,15,6,105,105,10500,0
494,MPLS_0,91,15,1.57,69,117,34500,5000
494,MPLS_2,82,8,0.58,37,62,29600,6400
494,Internet,218,17,4,80,80,8000,0
495,MPLS_2,72,9,0.6,6,11,4200,7000
495,MPLS_1,85,12,1.11,10,16,5000,5000
495,Internet,211,14,2,9,9,900,0
496,MPLS_2,89,7,0.47,13,23,10400,4800
496,MPLS_1,108,16,1.14,35,57,28000,6400
496,Internet,206,13,2,31,31,3100,0
497,MPLS_1,82,8,0.62,17,32,8500,4000
497,MPLS_0,96,15,1.62,58,110,29000,5000
497,Internet,164,19,6,30,30,3000,0
498,MPLS_1,63,13,0.58,11,19,8800,2400
498,MPLS_2,98,14,1.96,75,124,45000,2400
498,MPLS_0,77,7,0.75,13,23,6500,3000
498,Internet,192,13,4,77,77,7700,0
499,MPLS_2,87,12,0.53,6,9,4800,2400
499,MPLS_0,76,7,0.75,8,12,6400,8000
499,MPLS_1,102,14,1.94,34,56,27200,5600
499,Internet,175,13,4,33,33,3300,0
500,MPLS_2,66,12,0.6,33,58,26400,7200
500,MPLS_0,94,13,1.78,84,132,58800,3500
500,Internet,164,19,1,71,71,7100,0
501,MPLS_0,71,8,0.72,9,16,7200,2400
501,MPLS_2,141,13,1.58,24,46,14400,4200
501,Internet,146,20,9,27,27,2700,0
502,MPLS_2,118,16,1.64,16,25,11200,5600
502,MPLS_0,60,12,0.44,5,9,3500,4200
502,Internet,170,17,4,15,15,1500,0
503,MPLS_1,142,14,1.91,331,661,231700,4900
503,MPLS_2,78,11,0.48,134,205,93800,7000
503,Internet,217,20,7,311,311,31100,0
504,MPLS_2,70,7,0.72,36,66,21600,6000
504,Internet,156,13,5,21,21,2100,0
505,MPLS_0,137,14,1.94,45,81,36000,4000
505,MPLS_2,68,12,0.41,8,15,5600,7000
505,MPLS_1,85,12,0.6,9,17,5400,3600
505,Internet,173,17,1,27,27,2700,0
506,MPLS_0,147,14,0.9,47,88,23500,2500
506,MPLS_2,67,13,0.78,21,41,12600,3000
506,Internet,195,15,1,37,37,3700,0
507,MPLS_2,148,12,1.28,12,20,8400,5600
507,MPLS_1,60,12,0.75,3,5,2400,6400
507,Internet,143,19,10,14,14,1400,0
508,MPLS_0,72,7,0.64,31,56,24800,4000
508,MPLS_1,129,12,1.81,103,175,61800,3000
508,MPLS_2,65,12,0.73,28,44,22400,3200
508,Internet,143,20,6,144,144,14400,0
509,MPLS_1,80,12,1.49,41,64,28700,2800
509,MPLS_2,75,12,0.59,16,26,8000,4500
509,Internet,191,20,9,39,39,3900,0
510,MPLS_0,65,9,0.6,261,519,182700,3500
510,Internet,195,14,3,218,218,21800,0
511,MPLS_1,64,12,0.56,1,1,700,5600
511,MPLS_2,85,13,2.01,4,6,3200,2400
511,Internet,178,13,9,4,4,400,0
512,MPLS_2,89,9,0.56,7,13,4200,4800
512,MPLS_0,74,13,0.46,8,15,4000,3500
512,MPLS_1,115,16,1.72,33,61,23100,4200
512,Internet,190,12,5,37,37,3700,0
513,MPLS_2,140,13,1.53,28,45,14000,4500
513,MPLS_1,67,13,0.48,5,7,4000,2400
513,MPLS_0,86,10,0.44,6,11,4200,5600
513,Internet,159,13,1,18,18,1800,0
514,MPLS_1,143,16,1.21,37,73,22200,4800
514,MPLS_0,61,12,0.71,8,15,6400,8000
514,MPLS_2,63,13,0.72,10,15,7000,2100
514,Internet,216,12,6,30,30,3000,0
515,MPLS_0,63,8,0.54,3,5,1500,3000
515,MPLS_2,126,15,1.49,9,17,5400,4800
515,Internet,184,14,8,7,7,700,0
516,MPLS_0,88,11,0.72,4,6,3200,4800
516,MPLS_2,83,12,1.34,10,16,6000,2400
516,Internet,162,13,1,12,12,1200,0
517,MPLS_1,141,15,1.01,43,68,25800,4200
517,MPLS_2,89,10,0.49,15,25,10500,3500
517,Internet,188,13,6,38,38,3800,0
518,MPLS_0,66,9,0.62,38,75,22800,4800
518,Internet,152,14,3,25,25,2500,0
519,MPLS_0,141,12,0.94,24,46,12000,2500
519,MPLS_1,81,8,0.51,7,12,4200,1800
519,Internet,205,19,6,25,25,2500,0
520,MPLS_1,140,14,1.15,77,128,38500,2000
520,MPLS_2,63,11,0.51,17,30,11900,2100
520,MPLS_0,86,9,0.53,16,26,12800,2400
