LinkID,site,cloud,latency(ms),jitter(ms),lost(%),base_capacity,capacity,fixed_cost,variable_cost_unit
1003,311,Internet,165,16,1.0,28,28,2800,0
1004,312,MPLS_2,68,9,0.71,2,3,1600,8000
1005,312,MPLS_1,111,13,1.52,5,8,2500,4000
1006,312,Internet,173,17,2.0,3,3,300,0
1007,313,MPLS_0,82,10,0.64,7,13,4200,3600
1008,313,MPLS_1,117,16,1.22,15,22,10500,6300
1009,313,Internet,183,18,3.0,19,19,1900,0
1010,314,MPLS_2,138,14,1.22,27,44,21600,7200
1011,314,MPLS_0,87,8,0.7,8,12,6400,4000
1012,314,Internet,202,14,10.0,21,21,2100,0
1013,315,MPLS_0,88,9,0.45,87,150,43500,3500
1014,315,Internet,207,20,10.0,42,42,4200,0
1015,316,MPLS_1,61,9,0.6,9,14,7200,6400
1016,316,MPLS_0,94,15,0.99,22,43,15400,7000
1017,316,Internet,148,20,2.0,14,14,1400,0
1018,317,MPLS_2,123,12,1.25,8,14,4800,4800
1019,317,MPLS_1,75,10,0.72,2,3,1200,2400
1020,317,Internet,201,18,2.0,7,7,700,0
1021,318,MPLS_0,132,13,1.84,168,267,100800,3600
1022,318,MPLS_1,61,13,0.43,31,52,15500,2000
1023,318,MPLS_2,78,12,0.45,42,67,29400,2100
1024,318,Internet,157,19,4.0,97,97,9700,0
1025,319,MPLS_1,77,7,0.61,15,25,12000,5600
1026,319,MPLS_2,107,12,1.15,79,126,63200,8000
1027,319,MPLS_0,83,9,0.55,19,29,13300,2100
1028,319,Internet,176,17,7.0,67,67,6700,0
1029,320,MPLS_0,119,13,1.0,21,34,10500,2000
1030,320,MPLS_2,63,9,0.71,4,7,2000,1500
1031,320,MPLS_1,70,9,0.6,4,7,3200,2400
1032,320,Internet,204,20,9.0,19,19,1900,0
1033,321,MPLS_1,60,8,0.67,17,30,8500,5000
1034,321,MPLS_0,93,16,1.73,45,74,27000,3600
1035,321,Internet,218,16,6.0,39,39,3900,0
1036,322,MPLS_1,149,15,1.89,85,152,42500,3000
1037,322,MPLS_2,63,10,0.53,34,65,27200,3200
1038,322,Internet,140,12,4.0,82,82,8200,0
1039,323,MPLS_0,85,11,0.42,30,52,15000,1500
1040,323,Internet,209,13,9.0,13,13,1300,0
1041,324,MPLS_2,94,16,1.64,78,130,62400,5600
1042,324,MPLS_1,70,8,0.49,36,55,18000,4000
1043,324,Internet,175,18,4.0,57,57,5700,0
1044,325,MPLS_0,89,8,0.56,55,97,38500,6300
1045,325,MPLS_2,68,11,0.45,46,87,32200,3500
1046,325,MPLS_1,125,15,1.2,260,483,208000,4800
1047,325,Internet,173,15,4.0,139,139,13900,0
1048,326,MPLS_0,81,8,0.43,6,11,4200,7000
1049,326,MPLS_1,88,13,0.54,6,11,4200,2800
1050,326,MPLS_2,93,13,1.57,36,58,18000,2000
1051,326,Internet,145,17,9.0,28,28,2800,0
1052,327,MPLS_1,88,13,0.71,71,126,35500,5000
1053,327,MPLS_0,84,11,0.66,54,102,37800,7000
1054,327,MPLS_2,123,15,1.11,305,492,183000,4200
1055,327,Internet,218,19,9.0,183,183,18300,0
1056,328,MPLS_0,106,12,1.48,14,24,7000,4500
1057,328,MPLS_1,85,8,0.75,8,13,4000,2500
1058,328,Internet,213,12,3.0,15,15,1500,0
1059,329,MPLS_1,77,8,0.43,13,24,7800,3000
1060,329,MPLS_0,131,12,1.79,30,53,21000,7000
1061,329,Internet,198,17,10.0,29,29,2900,0
1062,330,MPLS_1,68,12,0.57,10,16,8000,7200
1063,330,Internet,177,15,1.0,7,7,700,0
1064,331,MPLS_2,77,9,0.69,3,5,1500,4000
1065,331,MPLS_0,151,15,1.71,9,15,6300,2800
1066,331,Internet,180,19,3.0,7,7,700,0
1067,332,MPLS_2,140,16,1.58,17,28,8500,3500
1068,332,MPLS_1,82,7,0.45,7,12,3500,2000
1069,332,Internet,218,13,4.0,18,18,1800,0
1070,333,MPLS_1,61,9,0.58,5,9,3000,3600
1071,333,MPLS_2,94,15,1.81,33,53,16500,4500
1072,333,MPLS_0,82,8,0.76,6,11,3000,3500
1073,333,Internet,179,18,8.0,28,28,2800,0
1074,334,MPLS_1,75,10,0.66,76,133,38000,2000
1075,334,Internet,200,14,4.0,43,43,4300,0
1076,335,MPLS_0,89,12,0.65,11,19,7700,3500
1077,335,MPLS_2,130,15,1.45,28,42,14000,2500
1078,335,Internet,194,18,8.0,29,29,2900,0
1079,336,MPLS_1,85,8,0.47,53,86,31800,1800
1080,336,Internet,153,12,9.0,31,31,3100,0
1081,337,MPLS_1,92,12,1.68,27,44,16200,4200
1082,337,MPLS_2,60,12,0.52,9,17,5400,2400
1083,337,Internet,185,16,6.0,21,21,2100,0
1084,338,MPLS_1,80,13,0.44,12,21,9600,7200
1085,338,MPLS_0,142,14,2.01,37,72,25900,3500
1086,338,Internet,208,20,9.0,28,28,2800,0
1087,339,MPLS_1,72,11,0.4,28,42,16800,3000
1088,339,Internet,168,15,8.0,12,12,1200,0
1089,340,MPLS_1,149,15,1.54,65,107,45500,4200
1090,340,MPLS_2,66,10,0.73,25,40,15000,3600
1091,340,Internet,167,12,10.0,71,71,7100,0
1092,341,MPLS_0,83,11,0.46,2,3,1200,5400
1093,341,MPLS_1,84,14,2.02,13,24,6500,2000
1094,341,MPLS_2,87,8,0.55,2,3,1000,4000
1095,341,Internet,175,12,4.0,5,5,500,0
1096,342,MPLS_2,67,9,0.72,14,25,11200,3200
1097,342,MPLS_0,109,14,1.6,44,82,35200,7200
1098,342,Internet,200,13,2.0,21,21,2100,0
1099,343,MPLS_2,97,16,0.88,41,63,20500,1500
1100,343,MPLS_0,79,12,0.58,15,28,10500,6300
1101,343,Internet,192,15,8.0,44,44,4400,0
1102,344,MPLS_2,84,7,0.65,3,5,2400,7200
1103,344,MPLS_0,82,12,0.84,9,17,6300,4900
1104,344,Internet,151,16,10.0,12,12,1200,0
1105,345,MPLS_0,87,16,1.55,48,88,24000,4000
1106,345,MPLS_1,63,8,0.57,9,17,6300,4200
1107,345,MPLS_2,77,8,0.63,8,15,5600,6300
1108,345,Internet,216,18,5.0,36,36,3600,0
1109,346,MPLS_0,131,14,1.42,39,71,27300,4200
1110,346,MPLS_2,89,10,0.51,20,39,10000,2000
1111,346,Internet,189,12,9.0,23,23,2300,0
1112,347,MPLS_1,83,11,0.58,9,17,7200,2400
1113,347,MPLS_0,98,14,2.07,43,71,30100,2100
1114,347,MPLS_2,75,7,0.47,7,11,4200,2400
1115,347,Internet,216,18,5.0,42,42,4200,0
1116,348,MPLS_2,76,12,0.44,8,14,4000,3000
1117,348,MPLS_1,83,13,1.22,54,90,43200,4800
1118,348,MPLS_0,65,12,0.46,10,17,5000,3500
1119,348,Internet,157,17,2.0,35,35,3500,0
1120,349,MPLS_0,66,13,0.49,40,65,32000,4800
1121,349,MPLS_1,66,9,0.57,34,53,17000,4500
1122,349,MPLS_2,113,14,1.84,217,342,108500,2500
1123,349,Internet,147,18,3.0,182,182,18200,0
1124,350,MPLS_2,77,13,0.58,10,19,7000,4200
1125,350,MPLS_1,132,13,0.98,22,41,17600,3200
1126,350,Internet,201,19,4.0,20,20,2000,0
1127,351,MPLS_2,78,11,0.41,36,63,25200,2800
1128,351,MPLS_1,106,12,2.04,100,174,80000,3200
1129,351,Internet,172,19,3.0,83,83,8300,0
1130,352,MPLS_0,89,9,0.69,124,213,62000,3000
1131,352,Internet,203,18,3.0,56,56,5600,0
1132,353,MPLS_2,65,7,0.48,7,12,5600,2400
1133,353,Internet,176,20,2.0,3,3,300,0
1134,354,MPLS_2,61,9,0.58,32,49,19200,2400
1135,354,MPLS_0,150,16,1.94,146,252,87600,3600
1136,354,MPLS_1,79,12,0.68,29,47,23200,5600
1137,354,Internet,216,19,8.0,117,117,11700,0
1138,355,MPLS_2,74,11,0.53,14,27,11200,8000
1139,355,MPLS_1,75,10,0.58,17,27,13600,6400
1140,355,MPLS_0,86,16,1.07,82,146,65600,6400
1141,355,Internet,179,17,2.0,58,58,5800,0
1142,356,MPLS_2,82,9,0.45,44,72,26400,3000
1143,356,MPLS_0,61,10,0.41,39,66,19500,2000
1144,356,MPLS_1,131,14,1.29,258,394,154800,4200
1145,356,Internet,152,19,7.0,230,230,23000,0
1146,357,MPLS_0,65,9,0.59,21,34,10500,4000
1147,357,MPLS_2,93,15,1.11,48,76,38400,4000
1148,357,Internet,184,16,5.0,37,37,3700,0
1149,358,MPLS_0,146,15,1.46,46,70,36800,2400
1150,358,MPLS_2,74,13,0.61,16,24,11200,4900
1151,358,Internet,158,15,6.0,45,45,4500,0
1152,359,MPLS_1,83,9,0.53,33,59,23100,2100
1153,359,Internet,191,14,5.0,16,16,1600,0
1154,360,MPLS_1,123,16,0.86,32,55,22400,4900
1155,360,MPLS_2,71,10,0.76,8,12,4000,1500
1156,360,Internet,141,16,3.0,25,25,2500,0
1157,361,MPLS_0,84,9,0.54,5,8,3500,3500
1158,361,MPLS_1,134,13,1.48,13,21,9100,2100
1159,361,Internet,189,14,2.0,7,7,700,0
1160,362,MPLS_2,77,13,0.74,9,14,7200,7200
1161,362,MPLS_0,92,15,1.75,21,35,10500,5000
1162,362,Internet,211,20,5.0,13,13,1300,0
1163,363,MPLS_2,73,12,0.48,19,32,13300,7000
1164,363,MPLS_0,125,12,1.4,40,70,32000,2400
1165,363,Internet,209,19,1.0,26,26,2600,0
1166,364,MPLS_2,132,12,1.69,50,92,25000,3000
1167,364,MPLS_0,79,12,0.53,24,41,16800,3500
1168,364,Internet,145,13,2.0,50,50,5000,0
1169,365,MPLS_1,71,8,0.75,2,3,1200,3600
1170,365,MPLS_2,88,7,0.5,2,3,1000,4000
1171,365,MPLS_0,107,15,1.61,13,25,6500,2000
1172,365,Internet,201,17,8.0,10,10,1000,0
1173,366,MPLS_0,133,16,0.8,42,76,33600,3200
1174,366,MPLS_1,69,9,0.74,14,25,8400,1800
1175,366,Internet,140,16,9.0,36,36,3600,0
1176,367,MPLS_2,134,12,1.73,32,55,22400,2800
1177,367,MPLS_0,73,10,0.6,11,16,8800,8000
1178,367,Internet,184,17,9.0,22,22,2200,0
1179,368,MPLS_1,89,9,0.59,105,162,84000,3200
1180,368,Internet,210,18,5.0,45,45,4500,0
1181,369,MPLS_2,139,13,0.97,3,5,2400,6400
1182,369,MPLS_1,74,11,0.64,1,1,500,3500
1183,369,MPLS_0,64,7,0.68,0,0,0,6000
1184,369,Internet,217,15,5.0,2,2,200,0
1185,370,MPLS_0,79,8,0.43,28,42,19600,7000
1186,370,MPLS_2,82,16,2.06,77,125,46200,6000
1187,370,Internet,193,12,6.0,37,37,3700,0
1188,371,MPLS_2,108,14,1.69,27,41,18900,3500
1189,371,MPLS_1,65,12,0.5,12,22,8400,5600
1190,371,Internet,167,14,2.0,28,28,2800,0
1191,372,MPLS_1,77,10,0.6,7,12,4200,2400
1192,372,MPLS_0,60,12,0.43,8,12,4800,4800
1193,372,MPLS_2,115,14,2.04,56,89,44800,7200
1194,372,Internet,192,14,5.0,42,42,4200,0
1195,373,MPLS_2,89,8,0.48,4,7,2000,2000
1196,373,MPLS_0,102,15,1.87,7,13,4900,4200
1197,373,Internet,177,19,2.0,5,5,500,0
1198,374,MPLS_2,119,16,1.1,26,41,15600,3600
1199,374,MPLS_1,68,8,0.73,11,20,7700,2100
1200,374,Internet,192,12,1.0,19,19,1900,0
1201,375,MPLS_0,85,11,0.6,3,5,1500,3500
1202,375,MPLS_1,123,15,0.87,15,28,12000,8000
1203,375,MPLS_2,65,12,0.61,2,3,1600,5600
1204,375,Internet,213,13,6.0,15,15,1500,0
1205,376,MPLS_0,79,12,0.65,7,12,5600,2400
1206,376,MPLS_1,148,12,1.55,29,57,14500,2000
1207,376,Internet,155,12,1.0,21,21,2100,0
1208,377,MPLS_2,104,15,2.1,438,869,262800,5400
1209,377,MPLS_1,61,7,0.57,152,293,106400,4900
1210,377,Internet,169,17,7.0,290,290,29000,0
1211,378,MPLS_0,102,15,0.91,12,22,8400,2800
1212,378,MPLS_1,89,7,0.61,4,7,2400,6000
1213,378,Internet,181,18,4.0,10,10,1000,0
1214,379,MPLS_0,72,8,0.77,257,496,179900,4900
1215,379,Internet,153,19,10.0,216,216,21600,0
1216,380,MPLS_2,63,8,0.72,126,210,100800,4800
1217,380,Internet,203,16,2.0,52,52,5200,0
1218,381,MPLS_2,70,7,0.73,34,65,27200,4800
1219,381,Internet,166,17,10.0,22,22,2200,0
1220,382,MPLS_1,77,12,0.4,6,9,3600,3000
1221,382,MPLS_2,125,15,1.73,11,18,8800,2400
1222,382,Internet,211,19,4.0,8,8,800,0
1223,383,MPLS_0,85,7,0.77,31,47,15500,2000
1224,383,MPLS_1,125,13,1.83,81,127,40500,5000
1225,383,Internet,185,18,5.0,73,73,7300,0
1226,384,MPLS_1,82,11,0.66,26,47,13000,3000
1227,384,MPLS_2,63,9,0.64,28,46,22400,5600
1228,384,MPLS_0,114,13,1.24,159,256,79500,5000
1229,384,Internet,151,14,5.0,133,133,13300,0
1230,385,MPLS_1,83,13,0.47,14,23,11200,6400
1231,385,MPLS_2,117,14,2.02,40,73,28000,2100
1232,385,Internet,185,12,2.0,32,32,3200,0
1233,386,MPLS_0,73,12,0.72,16,27,11200,2800
1234,386,MPLS_1,95,15,1.39,43,83,25800,1800
1235,386,Internet,152,13,7.0,25,25,2500,0
1236,387,MPLS_0,83,7,0.69,7,12,4200,3000
1237,387,MPLS_2,110,13,1.52,55,94,44000,5600
1238,387,MPLS_1,62,10,0.47,7,12,5600,6400
1239,387,Internet,191,13,1.0,34,34,3400,0
1240,388,MPLS_1,91,15,1.78,57,101,34200,4200
1241,388,MPLS_2,79,8,0.77,26,40,18200,5600
1242,388,Internet,170,14,4.0,53,53,5300,0
1243,389,MPLS_2,76,10,0.59,3,5,2100,7000
1244,389,MPLS_1,91,12,1.46,9,14,5400,6000
1245,389,Internet,140,12,2.0,5,5,500,0
1246,390,MPLS_0,105,16,0.97,67,122,33500,4000
1247,390,MPLS_1,71,8,0.54,28,55,22400,2400
1248,390,Internet,172,14,10.0,72,72,7200,0
1249,391,MPLS_1,62,7,0.76,34,53,17000,4500
1250,391,Internet,194,14,6.0,21,21,2100,0
1251,392,MPLS_1,114,16,2.0,48,80,24000,3000
1252,392,MPLS_2,89,11,0.78,10,17,6000,6000
1253,392,MPLS_0,86,11,0.46,10,17,6000,2400
1254,392,Internet,163,14,2.0,60,60,6000,0
1255,393,MPLS_1,140,14,1.69,15,24,9000,3000
1256,393,MPLS_0,72,10,0.52,3,5,1500,3000
1257,393,MPLS_2,69,8,0.72,3,5,2400,7200
1258,393,Internet,157,17,2.0,12,12,1200,0
1259,394,MPLS_1,84,12,0.78,6,9,3000,3000
1260,394,MPLS_0,64,11,0.66,6,11,3600,1800
1261,394,MPLS_2,100,14,1.84,38,66,26600,4900
1262,394,Internet,140,13,2.0,26,26,2600,0
1263,395,MPLS_0,145,14,1.11,11,19,8800,6400
1264,395,MPLS_2,83,9,0.45,4,6,2400,5400
1265,395,Internet,149,12,8.0,12,12,1200,0
1266,396,MPLS_0,137,13,1.97,439,664,219500,5000
1267,396,MPLS_2,79,12,0.51,139,265,97300,4900
1268,396,Internet,188,17,2.0,213,213,21300,0
1269,397,MPLS_2,60,8,0.78,12,21,6000,3000
1270,397,MPLS_1,106,15,1.69,32,59,22400,2800
1271,397,Internet,195,17,9.0,27,27,2700,0
1272,398,MPLS_2,64,8,0.45,23,37,13800,4200
1273,398,MPLS_1,98,13,1.69,57,101,45600,7200
1274,398,Internet,176,19,8.0,55,55,5500,0
1275,399,MPLS_1,113,12,1.26,77,139,38500,3500
1276,399,MPLS_2,86,11,0.6,28,54,14000,4500
1277,399,Internet,215,20,2.0,75,75,7500,0
1278,400,MPLS_1,63,7,0.44,16,31,11200,5600
1279,400,MPLS_0,113,12,1.16,51,92,30600,1800
1280,400,Internet,166,20,7.0,23,23,2300,0
1281,401,MPLS_0,86,9,0.64,27,49,21600,4000
1282,401,MPLS_1,102,13,1.13,53,101,26500,5000
1283,401,Internet,186,19,5.0,68,68,6800,0
1284,402,MPLS_1,74,7,0.73,5,8,2500,3500
1285,402,MPLS_2,131,15,1.03,17,31,11900,6300
1286,402,MPLS_0,68,10,0.58,3,4,2400,4000
1287,402,Internet,206,16,9.0,16,16,1600,0
1288,403,MPLS_1,111,16,1.11,23,37,16100,3500
1289,403,MPLS_2,83,10,0.64,8,12,5600,7000
1290,403,Internet,146,15,2.0,11,11,1100,0
1291,404,MPLS_1,97,16,1.84,49,90,24500,3500
1292,404,MPLS_0,68,12,0.79,24,44,14400,3000
1293,404,Internet,198,19,6.0,50,50,5000,0
1294,405,MPLS_1,88,9,0.7,353,669,282400,7200
1295,405,Internet,189,16,5.0,244,244,24400,0
1296,406,MPLS_2,61,8,0.58,18,33,14400,6400
1297,406,MPLS_0,82,12,0.57,14,23,11200,8000
1298,406,MPLS_1,144,14,1.59,102,154,71400,5600
1299,406,Internet,166,18,8.0,53,53,5300,0
1300,407,MPLS_0,133,15,1.81,30,54,21000,2100
1301,407,MPLS_1,87,12,0.62,6,9,3600,3600
1302,407,MPLS_2,63,8,0.66,5,8,2500,1500
1303,407,Internet,202,20,5.0,18,18,1800,0
1304,408,MPLS_1,60,11,0.71,5,8,4000,4000
1305,408,MPLS_2,136,16,1.18,9,15,5400,3600
1306,408,Internet,185,15,4.0,7,7,700,0
1307,409,MPLS_0,89,12,1.93,130,242,104000,6400
1308,409,MPLS_2,60,13,0.49,52,93,31200,2400
1309,409,Internet,172,17,4.0,102,102,10200,0
1310,410,MPLS_1,72,8,0.76,13,24,10400,3200
1311,410,MPLS_2,92,15,1.33,23,43,18400,2400
1312,410,Internet,194,16,7.0,27,27,2700,0
1313,411,MPLS_0,145,15,0.81,42,69,29400,4900
1314,411,MPLS_1,71,11,0.54,13,23,10400,5600
1315,411,Internet,192,15,7.0,37,37,3700,0
1316,412,MPLS_0,79,12,0.62,1,1,500,1500
1317,412,MPLS_2,63,7,0.63,1,1,500,4000
1318,412,MPLS_1,94,16,2.05,4,6,2800,3500
1319,412,Internet,158,13,2.0,5,5,500,0
1320,413,MPLS_0,68,8,0.42,88,153,44000,4500
1321,413,Internet,190,18,9.0,62,62,6200,0
1322,414,MPLS_2,76,12,0.79,27,48,13500,3500
1323,414,MPLS_1,76,8,0.62,28,49,19600,4200
1324,414,MPLS_0,134,13,1.9,103,155,82400,3200
1325,414,Internet,143,15,2.0,111,111,11100,0
1326,415,MPLS_2,94,14,2.04,34,52,20400,3600
1327,415,MPLS_0,89,11,0.68,6,11,3600,4200
1328,415,MPLS_1,67,8,0.52,6,9,3000,4000
1329,415,Internet,215,13,4.0,20,20,2000,0
1330,416,MPLS_1,71,10,0.6,13,24,7800,4800
1331,416,MPLS_0,108,12,1.2,36,54,21600,3600
1332,416,Internet,177,18,3.0,38,38,3800,0
1333,417,MPLS_0,97,13,1.46,43,78,25800,2400
1334,417,MPLS_2,84,13,0.43,21,34,12600,6000
1335,417,Internet,140,14,2.0,37,37,3700,0
1336,418,MPLS_1,87,9,0.65,10,16,6000,4200
1337,418,MPLS_0,96,16,0.93,39,75,19500,5000
1338,418,MPLS_2,73,11,0.44,8,14,4000,4500
1339,418,Internet,186,16,4.0,43,43,4300,0
1340,419,MPLS_2,77,12,0.42,12,23,8400,4200
1341,419,MPLS_0,66,12,0.49,12,22,6000,3500
1342,419,MPLS_1,89,12,1.84,66,107,52800,3200
1343,419,Internet,213,17,9.0,49,49,4900,0
1344,420,MPLS_2,78,11,0.71,15,24,7500,1500
1345,420,MPLS_1,107,15,1.23,42,82,25200,3600
1346,420,Internet,163,19,4.0,35,35,3500,0
1347,421,MPLS_0,119,15,1.07,80,137,40000,3000
1348,421,MPLS_2,60,7,0.43,27,50,16200,3600
1349,421,Internet,186,14,7.0,62,62,6200,0
1350,422,MPLS_0,109,12,1.92,53,89,26500,2000
1351,422,MPLS_1,88,10,0.62,17,29,10200,1800
1352,422,Internet,194,20,4.0,31,31,3100,0
1353,423,MPLS_2,125,13,1.25,15,24,10500,2800
1354,423,MPLS_0,63,8,0.62,6,10,4800,7200
1355,423,Internet,207,13,1.0,14,14,1400,0
1356,424,MPLS_2,70,13,0.45,14,21,8400,1800
1357,424,MPLS_1,116,13,1.62,69,123,34500,2500
1358,424,MPLS_0,71,13,0.49,13,21,6500,3500
1359,424,Internet,193,12,7.0,60,60,6000,0
1360,425,MPLS_1,73,10,0.56,8,13,6400,3200
1361,425,MPLS_2,108,16,1.65,27,42,18900,4200
1362,425,MPLS_0,79,10,0.59,8,15,4800,3000
1363,425,Internet,172,12,3.0,28,28,2800,0
1364,426,MPLS_2,103,12,1.21,17,29,11900,2800
1365,426,MPLS_1,89,8,0.77,8,13,4800,4200
1366,426,Internet,140,17,6.0,12,12,1200,0
1367,427,MPLS_1,72,8,0.75,20,37,16000,2400
1368,427,MPLS_2,77,7,0.59,21,37,14700,4900
1369,427,MPLS_0,95,16,1.4,107,190,74900,4200
1370,427,Internet,158,12,7.0,89,89,8900,0
1371,428,MPLS_1,109,13,1.33,224,389,179200,4000
1372,428,MPLS_2,81,13,0.57,78,126,39000,5000
1373,428,Internet,192,13,9.0,121,121,12100,0
1374,429,MPLS_1,126,16,1.9,96,175,48000,5000
1375,429,MPLS_2,75,11,0.62,28,48,14000,4000
1376,429,Internet,160,13,4.0,81,81,8100,0
1377,430,MPLS_0,72,10,0.61,19,35,15200,4000
1378,430,MPLS_2,81,11,0.69,14,23,7000,1500
1379,430,MPLS_1,89,16,1.4,89,156,53400,2400
1380,430,Internet,202,18,10.0,89,89,8900,0
1381,431,MPLS_0,61,11,0.79,424,694,339200,8000
1382,431,Internet,166,12,1.0,299,299,29900,0
1383,432,MPLS_2,66,11,0.48,124,246,86800,5600
1384,432,Internet,204,14,6.0,76,76,7600,0
1385,433,MPLS_1,70,7,0.67,6,11,4200,2100
1386,433,MPLS_0,132,16,1.89,16,28,11200,2800
1387,433,Internet,140,13,2.0,7,7,700,0
1388,434,MPLS_0,64,7,0.66,23,44,11500,2500
1389,434,Internet,179,13,2.0,15,15,1500,0
1390,435,MPLS_0,77,13,0.5,18,29,14400,5600
1391,435,Internet,188,16,4.0,11,11,1100,0
1392,436,MPLS_2,62,12,0.44,5,9,3500,7000
1393,436,MPLS_0,124,12,1.05,14,21,8400,5400
1394,436,Internet,210,15,10.0,12,12,1200,0
1395,437,MPLS_1,80,8,0.47,9,17,4500,5000
1396,437,MPLS_2,116,12,1.79,26,46,15600,2400
1397,437,Internet,147,19,4.0,18,18,1800,0
1398,438,MPLS_1,148,14,1.08,26,44,13000,5000
1399,438,MPLS_0,86,9,0.46,11,18,6600,2400
1400,438,Internet,168,15,5.0,17,17,1700,0
1401,439,MPLS_2,86,15,1.21,357,685,285600,8000
1402,439,MPLS_0,83,7,0.74,101,171,80800,5600
1403,439,Internet,214,13,1.0,219,219,21900,0
1404,440,MPLS_2,70,13,0.75,6,9,3000,1500
1405,440,MPLS_1,147,14,0.99,25,48,20000,4000
1406,440,MPLS_0,72,7,0.44,8,14,6400,4800
1407,440,Internet,154,18,10.0,35,35,3500,0
1408,441,MPLS_2,131,15,1.58,8,13,5600,7000
1409,441,MPLS_1,70,13,0.54,3,5,2100,3500
1410,441,Internet,200,13,5.0,10,10,1000,0
1411,442,MPLS_2,75,7,0.5,59,97,47200,3200
1412,442,MPLS_0,88,14,1.86,158,259,94800,3000
1413,442,Internet,181,15,4.0,150,150,15000,0
1414,443,MPLS_1,60,7,0.44,12,23,6000,2000
1415,443,MPLS_2,79,8,0.59,13,23,7800,4200
1416,443,MPLS_0,101,13,2.02,71,137,49700,7000
1417,443,Internet,183,15,7.0,40,40,4000,0
1418,444,MPLS_2,109,16,0.92,339,611,169500,4000
1419,444,MPLS_0,68,8,0.64,148,276,74000,3000
1420,444,Internet,167,17,2.0,267,267,26700,0
1421,445,MPLS_0,110,14,2.02,59,104,41300,4900
1422,445,MPLS_1,89,7,0.55,33,59,19800,3600
1423,445,Internet,208,13,5.0,73,73,7300,0
1424,446,MPLS_1,119,15,1.15,8,15,5600,2800
1425,446,MPLS_0,84,7,0.53,2,3,1200,4800
1426,446,MPLS_2,72,7,0.4,1,1,500,3500
1427,446,Internet,156,18,4.0,6,6,600,0
1428,447,MPLS_1,83,7,0.69,29,50,20300,3500
1429,447,MPLS_0,83,12,1.03,57,94,34200,3600
1430,447,Internet,208,14,6.0,54,54,5400,0
1431,448,MPLS_0,86,12,0.69,6,10,3000,2000
1432,448,MPLS_1,116,13,1.61,17,33,10200,2400
1433,448,Internet,181,19,6.0,13,13,1300,0
1434,449,MPLS_0,71,13,0.54,10,18,7000,7000
1435,449,MPLS_1,83,11,0.48,8,13,6400,7200
1436,449,MPLS_2,87,16,1.96,48,79,38400,6400
1437,449,Internet,154,16,7.0,32,32,3200,0
1438,450,MPLS_1,70,13,0.68,117,222,58500,5000
1439,450,MPLS_2,96,14,2.01,281,532,168600,4800
1440,450,Internet,174,13,5.0,280,280,28000,0
1441,451,MPLS_0,131,15,1.55,52,94,26000,5000
1442,451,MPLS_1,82,7,0.5,26,46,20800,6400
1443,451,Internet,204,19,6.0,38,38,3800,0
1444,452,MPLS_2,60,7,0.6,11,18,6600,3600
1445,452,MPLS_0,89,9,0.78,9,17,5400,6000
1446,452,MPLS_1,149,15,1.22,57,92,45600,2400
1447,452,Internet,167,14,10.0,40,40,4000,0
1448,453,MPLS_1,71,9,0.61,30,48,24000,3200
1449,453,MPLS_2,137,15,1.17,143,251,71500,2500
1450,453,MPLS_0,67,10,0.41,23,42,11500,3000
1451,453,Internet,148,17,5.0,69,69,6900,0
1452,454,MPLS_1,71,10,0.53,21,37,14700,4900
1453,454,MPLS_0,129,15,0.86,42,83,33600,4800
1454,454,Internet,212,17,7.0,42,42,4200,0
1455,455,MPLS_0,69,13,0.4,43,73,34400,8000
1456,455,MPLS_1,89,12,1.99,206,405,103000,2500
1457,455,MPLS_2,86,10,0.57,48,79,24000,1500
1458,455,Internet,149,14,2.0,178,178,17800,0
1459,456,MPLS_0,136,13,0.88,35,65,24500,4200
1460,456,MPLS_2,66,7,0.58,15,27,10500,4200
1461,456,Internet,162,20,7.0,30,30,3000,0
1462,457,MPLS_0,72,13,0.58,9,14,4500,2000
1463,457,Internet,220,18,1.0,6,6,600,0
1464,458,MPLS_1,113,12,1.52,41,77,20500,1500
1465,458,MPLS_0,65,10,0.71,22,35,13200,1800
1466,458,Internet,179,14,8.0,27,27,2700,0
1467,459,MPLS_1,83,9,0.52,12,21,6000,3500
1468,459,MPLS_2,145,15,1.57,29,51,20300,2800
1469,459,Internet,193,19,1.0,32,32,3200,0
1470,460,MPLS_2,83,11,0.42,12,20,9600,4000
1471,460,MPLS_1,80,13,0.59,11,18,6600,6000
1472,460,MPLS_0,109,14,1.87,46,75,23000,4000
1473,460,Internet,169,15,6.0,40,40,4000,0
1474,461,MPLS_2,72,9,0.44,204,389,163200,3200
1475,461,MPLS_1,82,13,1.64,476,800,333200,4200
1476,461,Internet,166,18,3.0,421,421,42100,0
1477,462,MPLS_0,106,15,1.35,4,7,2800,5600
1478,462,MPLS_1,64,13,0.52,2,3,1000,1500
1479,462,Internet,167,18,10.0,5,5,500,0
1480,463,MPLS_1,79,10,0.52,7,12,5600,2400
1481,463,MPLS_2,91,16,1.34,29,50,23200,4800
1482,463,MPLS_0,85,7,0.62,9,14,5400,6000
1483,463,Internet,179,20,1.0,38,38,3800,0
1484,464,MPLS_2,77,9,0.76,12,20,7200,4800
1485,464,MPLS_1,85,9,0.53,12,18,8400,2800
1486,464,MPLS_0,87,16,1.77,62,122,37200,6000
1487,464,Internet,203,18,3.0,31,31,3100,0
1488,465,MPLS_1,62,9,0.67,8,13,4000,5000
